2026-06-13 01:04:28 | INFO | __main__ | Pipeline command started | command=weekend-policy-compare
2026-06-13 01:08:18 | INFO | src.backtest.weekend_policy_runner | Weekend variant 3/9 | name=force_close_friday_20_00
2026-06-13 01:08:18 | INFO | src.backtest.weekend_policy_runner | START run weekend variant | variant=force_close_friday_20_00
2026-06-13 01:08:18 | INFO | src.backtest.backtest_engine | START load candles and calculate indicators
2026-06-13 01:08:18 | INFO | src.backtest.backtest_engine | DONE load candles and calculate indicators | elapsed=0.0s
2026-06-13 01:08:18 | INFO | src.backtest.backtest_engine | START generate strategy signals
2026-06-13 01:08:19 | INFO | src.backtest.backtest_engine | DONE generate strategy signals | elapsed=0.4s
2026-06-13 01:08:19 | INFO | src.backtest.backtest_engine | Signals generated | accepted=650, rejected=15,493
2026-06-13 01:08:19 | INFO | src.backtest.backtest_engine | Execution progress | signal=1/650, trades=0, balance=10000.00
2026-06-13 01:08:21 | INFO | src.backtest.backtest_engine | Execution progress | signal=25/650, trades=14, balance=10252.03
2026-06-13 01:08:25 | INFO | src.backtest.backtest_engine | Execution progress | signal=50/650, trades=33, balance=10690.91
2026-06-13 01:08:28 | INFO | src.backtest.backtest_engine | Execution progress | signal=75/650, trades=50, balance=11118.30
2026-06-13 01:08:34 | INFO | src.backtest.backtest_engine | Execution progress | signal=100/650, trades=70, balance=11320.39
2026-06-13 01:08:39 | INFO | src.backtest.backtest_engine | Execution progress | signal=125/650, trades=87, balance=11354.44
2026-06-13 01:08:44 | INFO | src.backtest.backtest_engine | Execution progress | signal=150/650, trades=109, balance=11334.99
2026-06-13 01:08:52 | INFO | src.backtest.backtest_engine | Execution progress | signal=175/650, trades=128, balance=11546.62
2026-06-13 01:08:55 | INFO | src.backtest.backtest_engine | Execution progress | signal=200/650, trades=147, balance=11576.41
2026-06-13 01:08:59 | INFO | src.backtest.backtest_engine | Execution progress | signal=225/650, trades=164, balance=11942.42
2026-06-13 01:09:04 | INFO | src.backtest.backtest_engine | Execution progress | signal=250/650, trades=184, balance=12198.47
2026-06-13 01:09:08 | INFO | src.backtest.backtest_engine | Execution progress | signal=275/650, trades=201, balance=12499.05
2026-06-13 01:09:12 | INFO | src.backtest.backtest_engine | Execution progress | signal=300/650, trades=218, balance=13107.51
2026-06-13 01:09:18 | INFO | src.backtest.backtest_engine | Execution progress | signal=325/650, trades=233, balance=13203.69
2026-06-13 01:09:22 | INFO | src.backtest.backtest_engine | Execution progress | signal=350/650, trades=249, balance=13376.50
2026-06-13 01:09:26 | INFO | src.backtest.backtest_engine | Execution progress | signal=375/650, trades=267, balance=13504.10
2026-06-13 01:09:31 | INFO | src.backtest.backtest_engine | Execution progress | signal=400/650, trades=281, balance=13747.85
2026-06-13 01:09:35 | INFO | src.backtest.backtest_engine | Execution progress | signal=425/650, trades=294, balance=13844.89
2026-06-13 01:09:40 | INFO | src.backtest.backtest_engine | Execution progress | signal=450/650, trades=315, balance=14134.51
2026-06-13 01:09:46 | INFO | src.backtest.backtest_engine | Execution progress | signal=475/650, trades=334, balance=14362.59
2026-06-13 01:09:52 | INFO | src.backtest.backtest_engine | Execution progress | signal=500/650, trades=352, balance=14802.29
2026-06-13 01:09:58 | INFO | src.backtest.backtest_engine | Execution progress | signal=525/650, trades=365, balance=15085.14
2026-06-13 01:10:02 | INFO | src.backtest.backtest_engine | Execution progress | signal=550/650, trades=385, balance=15082.42
2026-06-13 01:10:05 | INFO | src.backtest.backtest_engine | Execution progress | signal=575/650, trades=402, balance=15602.61
2026-06-13 01:10:07 | INFO | src.backtest.backtest_engine | Execution progress | signal=600/650, trades=420, balance=15846.34
