event_id,event_time_utc,country,currency,event_name,impact,actual,forecast,previous,source
2022-01-28-usd-durable-goods-orders-f2386031,2022-01-28T09:30:00Z,United States,USD,Durable Goods Orders,HIGH,-0.9%,-0.5%,3.2%,nasdaq_economic_calendar
2022-01-28-usd-gdp-066961bd,2022-01-28T09:30:00Z,United States,USD,GDP,HIGH,6.9%,5.5%,2.3%,nasdaq_economic_calendar
2022-01-28-usd-gdp-price-index-df677ca0,2022-01-28T09:30:00Z,United States,USD,GDP Price Index,HIGH,7.0%,6.0%,5.9%,nasdaq_economic_calendar
2022-01-28-usd-gdp-sales-17be8da9,2022-01-28T09:30:00Z,United States,USD,GDP Sales,HIGH,1.9%,,0.1%,nasdaq_economic_calendar
2022-01-28-usd-pce-prices-034623f4,2022-01-28T09:30:00Z,United States,USD,PCE Prices,HIGH,6.5%,,5.3%,nasdaq_economic_calendar
2022-01-28-jpy-cpi-tokyo-ex-food-and-energy-401dcddf,2022-01-28T19:30:00Z,Japan,JPY,CPI Tokyo Ex Food and Energy,HIGH,-0.3%,,0.0%,nasdaq_economic_calendar
2022-01-28-jpy-tokyo-cpi-e53d2833,2022-01-28T19:30:00Z,Japan,JPY,Tokyo CPI,HIGH,0.5%,,0.8%,nasdaq_economic_calendar
2022-01-28-jpy-tokyo-core-cpi-ce6e3d1a,2022-01-28T19:30:00Z,Japan,JPY,Tokyo Core CPI,HIGH,0.2%,0.3%,0.5%,nasdaq_economic_calendar
2022-01-29-usd-core-pce-price-index-240e0787,2022-01-29T09:30:00Z,United States,USD,Core PCE Price Index,HIGH,0.5%,0.5%,0.5%,nasdaq_economic_calendar
2022-01-29-usd-employment-cost-index-b8de75c3,2022-01-29T09:30:00Z,United States,USD,Employment Cost Index,HIGH,1.0%,1.2%,1.3%,nasdaq_economic_calendar
2022-01-29-usd-pce-price-index-6310515f,2022-01-29T09:30:00Z,United States,USD,PCE Price index,HIGH,5.8,,5.7,nasdaq_economic_calendar
2022-01-29-usd-pce-price-index-6f6b7dbc,2022-01-29T09:30:00Z,United States,USD,PCE price index,HIGH,0.4%,,0.6%,nasdaq_economic_calendar
2022-01-29-usd-personal-income-31417cd5,2022-01-29T09:30:00Z,United States,USD,Personal Income,HIGH,0.3%,0.5%,0.5%,nasdaq_economic_calendar
2022-01-29-usd-real-personal-consumption-cbc31cc6,2022-01-29T09:30:00Z,United States,USD,Real Personal Consumption,HIGH,-1.0%,,-0.2%,nasdaq_economic_calendar
2022-01-29-usd-michigan-consumer-expectations-70509dc9,2022-01-29T11:00:00Z,United States,USD,Michigan Consumer Expectations,HIGH,64.1,65.8,68.3,nasdaq_economic_calendar
2022-01-29-usd-michigan-consumer-sentiment-cac67784,2022-01-29T11:00:00Z,United States,USD,Michigan Consumer Sentiment,HIGH,67.2,68.7,70.6,nasdaq_economic_calendar
2022-01-29-usd-dallas-fed-pce-19cc138b,2022-01-29T13:00:00Z,United States,USD,Dallas Fed PCE,HIGH,3.90%,,4.40%,nasdaq_economic_calendar
2022-01-31-jpy-industrial-production-c3ab938c,2022-01-31T19:50:00Z,Japan,JPY,Industrial Production,HIGH,-1.0%,-0.8%,7.0%,nasdaq_economic_calendar
2022-01-31-jpy-industrial-production-forecast-1m-ahead-d903ea1b,2022-01-31T19:50:00Z,Japan,JPY,Industrial Production forecast 1m ahead,HIGH,5.2%,,1.6%,nasdaq_economic_calendar
2022-01-31-jpy-industrial-production-forecast-2m-ahead-e241cd09,2022-01-31T19:50:00Z,Japan,JPY,Industrial Production forecast 2m ahead,HIGH,2.2%,,5.0%,nasdaq_economic_calendar
2022-01-31-jpy-retail-sales-6fbcda5f,2022-01-31T19:50:00Z,Japan,JPY,Retail Sales,HIGH,1.4%,2.7%,1.9%,nasdaq_economic_calendar
2022-02-01-usd-fomc-member-george-speaks-6061257b,2022-02-01T13:40:00Z,United States,USD,FOMC Member George Speaks,HIGH,,,,nasdaq_economic_calendar
2022-02-02-usd-ism-manufacturing-employment-f4292b9b,2022-02-02T11:00:00Z,United States,USD,ISM Manufacturing Employment,HIGH,54.5,53.5,53.9,nasdaq_economic_calendar
2022-02-02-usd-ism-manufacturing-new-orders-index-6176ae6e,2022-02-02T11:00:00Z,United States,USD,ISM Manufacturing New Orders Index,HIGH,57.9,,61.0,nasdaq_economic_calendar
2022-02-02-usd-ism-manufacturing-pmi-6201e1dd,2022-02-02T11:00:00Z,United States,USD,ISM Manufacturing PMI,HIGH,57.6,57.5,58.8,nasdaq_economic_calendar
2022-02-02-usd-ism-manufacturing-prices-9f74c970,2022-02-02T11:00:00Z,United States,USD,ISM Manufacturing Prices,HIGH,76.1,68.1,68.2,nasdaq_economic_calendar
2022-02-02-usd-jolts-job-openings-39416965,2022-02-02T11:00:00Z,United States,USD,JOLTS Job Openings,HIGH,10.925M,10.300M,10.775M,nasdaq_economic_calendar
2022-02-03-usd-adp-nonfarm-employment-change-ded6eac5,2022-02-03T09:15:00Z,United States,USD,ADP Nonfarm Employment Change,HIGH,-301K,207K,776K,nasdaq_economic_calendar
2022-02-04-usd-nonfarm-productivity-68b026dd,2022-02-04T09:30:00Z,United States,USD,Nonfarm Productivity,HIGH,6.6%,3.2%,-5.2%,nasdaq_economic_calendar
2022-02-04-usd-ism-non-manufacturing-business-activity-be0fdd23,2022-02-04T11:00:00Z,United States,USD,ISM Non-Manufacturing Business Activity,HIGH,59.9,71.0,68.3,nasdaq_economic_calendar
2022-02-04-usd-ism-non-manufacturing-employment-5c4b9ba9,2022-02-04T11:00:00Z,United States,USD,ISM Non-Manufacturing Employment,HIGH,52.3,,54.7,nasdaq_economic_calendar
2022-02-04-usd-ism-non-manufacturing-new-orders-cf14d1a0,2022-02-04T11:00:00Z,United States,USD,ISM Non-Manufacturing New Orders,HIGH,61.7,,62.1,nasdaq_economic_calendar
2022-02-04-usd-ism-non-manufacturing-pmi-1c66460b,2022-02-04T11:00:00Z,United States,USD,ISM Non-Manufacturing PMI,HIGH,59.9,59.5,62.3,nasdaq_economic_calendar
2022-02-04-usd-ism-non-manufacturing-prices-6704114d,2022-02-04T11:00:00Z,United States,USD,ISM Non-Manufacturing Prices,HIGH,82.3,,83.9,nasdaq_economic_calendar
2022-02-05-usd-average-hourly-earnings-cd442d32,2022-02-05T09:30:00Z,United States,USD,Average Hourly Earnings,HIGH,0.7%,0.5%,0.5%,nasdaq_economic_calendar
2022-02-05-usd-average-hourly-earnings-yoy-434b5c7a,2022-02-05T09:30:00Z,United States,USD,Average Hourly Earnings (YoY),HIGH,5.7%,5.2%,5.0%,nasdaq_economic_calendar
2022-02-05-usd-nonfarm-payrolls-1750ea6e,2022-02-05T09:30:00Z,United States,USD,Nonfarm Payrolls,HIGH,467K,150K,510K,nasdaq_economic_calendar
2022-02-05-usd-private-nonfarm-payrolls-35d3a405,2022-02-05T09:30:00Z,United States,USD,Private Nonfarm Payrolls,HIGH,444K,150K,503K,nasdaq_economic_calendar
